2009-2010 Award Year FFEL Volume by School,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
"Award Year Cumulative Activity through Quarter ending 09/30/2009

",,,,,,,,,,,,,,,,,,,,,,,,
Data Run: 4/5/2012,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FFEL SUBSIDIZED,,,,,FFEL UNSUBSIDIZED,,,,,FFEL PARENT PLUS,,,,,FFEL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00577600,MERCY HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,ME,041013795,PRIVATE,9,9,33509,9,16755,6,6,38991,6,19496,0,0,0,0,0,0,0,0,0,0
00630500,CENTRAL MAINE MEDICAL CENTER,ME,042404500,PRIVATE,40,41,166573,54,93511,48,49,286102,68,157705,0,0,0,0,0,0,0,0,0,0
00676000,UNIVERSITY OF MAINE - AUGUSTA,ME,043309410,PUBLIC,0,0,0,0,0,0,0,0,0,0,8,8,37300,8,20050,0,0,0,0,0
00685800,UNITY COLLEGE,ME,049889502,PRIVATE,378,379,1680778,379,847332,399,420,1385333,420,694408,72,73,891884,73,475537,0,0,0,0,0
00923100,WASHINGTON COUNTY COMMUNITY COLLEGE,ME,046199704,PUBLIC,0,0,0,0,0,1,1,5500,1,2750,0,0,0,0,0,0,0,0,0,0
00929200,ANDOVER COLLEGE,ME,041062415,PROPRIETARY,120,126,293246,153,113156,52,57,108322,71,41750,3,3,6817,3,1908,0,0,0,0,0
01138500,COLLEGE OF THE ATLANTIC,ME,046091105,PRIVATE,176,176,799762,182,291298,128,128,338346,132,134203,23,23,278812,25,106300,0,0,0,0,0
01167300,MAINE COLLEGE OF ART,ME,041013987,PRIVATE,222,223,986661,223,499892,222,225,884169,227,434383,55,57,828371,59,434082,0,0,0,0,0
02104400,SPA TECH INSTITUTE,ME,040930000,PROPRIETARY,29,29,67691,47,52805,26,27,96271,43,78373,1,1,11250,2,11250,0,0,0,0,0
02347100,NEW ENGLAND SCHOOL OF COMMUNICATIONS,ME,044012999,PRIVATE,344,346,1451794,351,752508,364,369,1385134,375,698105,85,87,792789,88,426252,0,0,0,0,0
02361300,LANDING SCHOOL OF BOATBUILDING AND DESIGN,ME,040461490,PRIVATE,43,43,151178,43,75250,43,43,226176,43,110500,10,10,233879,10,114940,0,0,0,0,0
03122900,YORK COUNTY COMMUNITY COLLEGE,ME,040900529,PUBLIC,141,143,426270,143,212720,78,78,239219,78,120199,0,0,0,0,0,0,0,0,0,0
03612300,BIRTHWISE MIDWIFERY SCHOOL,ME,040091110,PROPRIETARY,20,20,75000,21,37500,19,19,108000,19,52500,0,0,0,0,0,0,0,0,0,0
00223400,ADRIAN COLLEGE,MI,492212575,PRIVATE,887,887,3920212,896,1966514,939,942,3292651,981,1521665,155,156,1896579,164,938336,0,0,0,0,0
00223500,ALBION COLLEGE,MI,492241831,PRIVATE,485,486,2291701,486,1170312,513,549,1794978,550,922192,75,80,983030,80,528942,0,0,0,0,0
00223600,ALMA COLLEGE,MI,488011599,PRIVATE,747,747,3287641,747,1662865,859,877,3397033,877,1694205,175,179,1819241,179,901151,0,0,0,0,0
00223700,ALPENA COMMUNITY COLLEGE,MI,497071495,PUBLIC,423,432,1287253,433,709305,281,291,836715,291,460165,7,7,40773,7,22129,0,0,0,0,0
00224000,BAY DE NOC COMMUNITY COLLEGE,MI,498292524,PUBLIC,446,449,1522038,449,781593,387,390,1293483,390,645912,2,2,13816,2,6908,0,0,0,0,0
00224200,CALVIN THEOLOGICAL SEMINARY,MI,495464387,PRIVATE,39,39,262129,39,128315,6,6,48003,6,24002,0,0,0,0,0,0,0,0,0,0
00224600,CLEARY UNIVERSITY,MI,481052659,PRIVATE,142,143,704337,143,187599,150,151,968887,151,259809,1,1,7300,1,1825,0,0,0,0,0
00224700,CONCORDIA UNIVERSITY,MI,481052797,PRIVATE,298,303,1334083,303,577008,340,344,1668787,344,704403,55,56,514303,56,271735,0,0,0,0,0
00224800,CRANBROOK ACADEMY OF ART,MI,483045162,PRIVATE,110,110,923167,110,463084,106,106,1284833,107,637399,0,0,0,0,0,49,49,401678,49,199964
00224900,DAVENPORT UNIVERSITY,MI,495129396,PRIVATE,7008,7168,31221395,7168,15899981,7320,7940,47412737,7940,24403745,228,239,1895666,239,1048238,185,192,1602504,192,923535
00225100,DELTA COLLEGE,MI,487100001,PUBLIC,1068,1073,2793294,1073,1587580,962,966,2877757,966,1613243,4,4,14982,4,9754,0,0,0,0,0
00226200,KETTERING UNIVERSITY,MI,485044898,PRIVATE,0,0,0,0,0,0,0,0,0,0,1,1,23000,1,11500,0,0,0,0,0
00226300,GLEN OAKS COMMUNITY COLLEGE,MI,490329784,PUBLIC,139,139,495122,139,225696,122,122,419219,122,188325,0,0,0,0,0,0,0,0,0,0
00226400,GOGEBIC COMMUNITY COLLEGE,MI,499381365,PUBLIC,242,245,727663,245,365856,177,183,536930,183,267807,4,4,28600,4,14300,0,0,0,0,0
00226500,GRACE BIBLE COLLEGE,MI,495091998,PRIVATE,0,0,0,0,0,0,0,0,0,0,8,8,96073,8,43152,0,0,0,0,0
00226600,CORNERSTONE UNIVERSITY,MI,495255897,PRIVATE,836,843,3830591,846,2007026,798,815,3167977,817,1671473,50,51,440045,51,260265,0,0,0,0,0
00226900,GREAT LAKES CHRISTIAN COLLEGE,MI,489171299,PRIVATE,105,105,433480,105,215986,76,80,327226,80,163615,0,0,0,0,0,0,0,0,0,0
00227400,JACKSON COMMUNITY COLLEGE,MI,492018399,PUBLIC,1621,1621,5982392,1621,3144018,1625,1629,8060060,1629,4158211,9,9,42350,9,22676,0,0,0,0,0
00227800,LANSING COMMUNITY COLLEGE,MI,489331293,PUBLIC,1,1,1522,1,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00227900,LAWRENCE TECHNOLOGICAL UNIVERSITY,MI,480751058,PRIVATE,1,1,4250,1,4250,1,1,950,1,950,0,0,0,0,0,0,0,0,0,0
00228200,MADONNA UNIVERSITY,MI,481501173,PRIVATE,1351,1353,6570906,1353,3325378,1519,1543,9976504,1544,5067735,123,125,1032938,125,507319,0,0,0,0,0
00228400,MARYGROVE COLLEGE,MI,482212599,PRIVATE,598,599,3444883,599,1476572,596,599,4775028,599,2092836,2,2,8000,2,4000,1,1,2983,1,2456
00228800,ROCHESTER COLLEGE,MI,483072764,PRIVATE,1,1,5500,1,2750,1,1,2000,1,1000,2,2,14178,2,14178,0,0,0,0,0
00229500,MONTCALM COMMUNITY COLLEGE,MI,488859723,PUBLIC,268,280,888098,280,578622,174,185,536260,185,300963,0,0,0,0,0,0,0,0,0,0
00229700,MUSKEGON COMMUNITY COLLEGE,MI,494421432,PUBLIC,229,234,724954,234,331545,145,149,429915,149,197954,0,0,0,0,0,0,0,0,0,0
00229900,NORTH CENTRAL MICHIGAN COLLEGE,MI,497708740,PUBLIC,190,190,678964,190,343203,154,154,470574,154,235740,1,1,1500,1,750,0,0,0,0,0
00230200,NORTHWESTERN MICHIGAN COLLEGE,MI,496863061,PUBLIC,927,929,3376060,929,1719341,767,774,3543736,774,1797006,14,14,186217,14,93109,0,0,0,0,0
00230300,OAKLAND COMMUNITY COLLEGE,MI,483042266,PUBLIC,1713,1751,5302866,1753,2880204,1342,1374,3677164,1375,1945454,1,1,2000,1,1000,0,0,0,0,0
00230800,OLIVET COLLEGE,MI,490769902,PRIVATE,555,570,2425502,575,1248492,591,602,2960093,606,1527870,73,73,650203,74,340121,0,0,0,0,0
00231000,ST. CLAIR COUNTY COMMUNITY COLLEGE,MI,480603864,PUBLIC,536,536,1661516,536,1043726,549,549,1963841,549,1168344,2,2,9077,2,4539,0,0,0,0,0
00231100,KUYPER COLLEGE,MI,495259749,PRIVATE,58,60,259686,61,126449,52,53,200772,54,99857,3,4,26500,4,13250,0,0,0,0,0
00231600,SIENA HEIGHTS UNIVERSITY,MI,492211796,PRIVATE,975,991,4414028,991,2375938,1059,1150,5811135,1150,3076981,78,80,686648,80,346587,0,0,0,0,0
00231700,SOUTHWESTERN MICHIGAN COLLEGE,MI,490479793,PUBLIC,0,0,0,0,0,0,0,0,0,0,2,2,11500,2,5750,0,0,0,0,0
00231800,SPRING ARBOR UNIVERSITY,MI,492839984,PRIVATE,1500,1516,6293638,1518,4473443,1480,1496,5022322,1499,3380420,124,124,1175667,124,592890,1,1,3669,1,3669
00232200,FINLANDIA UNIVERSITY,MI,499301882,PRIVATE,316,318,1391386,327,720313,293,300,1243235,324,679686,24,26,202687,30,104463,0,0,0,0,0
00232800,WASHTENAW COMMUNITY COLLEGE,MI,481054800,PUBLIC,2510,2565,7975637,2567,4018144,2338,2424,8365423,2424,4207693,13,14,71419,14,35713,0,0,0,0,0
00233100,WESTERN THEOLOGICAL SEMINARY,MI,494233622,PRIVATE,41,41,325514,41,163507,24,27,226500,27,113250,0,0,0,0,0,0,0,0,0,0
00407200,NORTHWOOD UNIVERSITY,MI,486402398,PRIVATE,2009,2034,9004046,2037,3284096,2127,2212,11343880,2213,4069715,184,186,2183641,187,752220,19,19,439956,19,200988
00467300,BAKER COLLEGE,MI,485075508,PRIVATE,10027,10297,36016589,10297,15504952,7730,8016,36238578,8016,14065334,217,222,1156464,222,397557,0,0,0,0,0
00469200,DORSEY BUSINESS SCHOOL,MI,481952334,PROPRIETARY,86,86,244939,91,89421,81,81,333644,84,118042,3,3,15431,3,5981,0,0,0,0,0
00676800,MID MICHIGAN COMMUNITY COLLEGE,MI,486259447,PUBLIC,1440,1440,5436532,1440,2727676,1584,1599,6877302,1599,3427955,29,29,151434,29,82236,0,0,0,0,0
00694900,KALAMAZOO VALLEY COMMUNITY COLLEGE,MI,490099606,PUBLIC,2082,2098,7308823,2098,3669489,2156,2193,8478107,2193,4156644,31,31,170009,31,85722,0,0,0,0,0
00717100,KIRTLAND COMMUNITY COLLEGE,MI,486530000,PUBLIC,353,363,1128764,364,560311,235,243,797760,244,393337,0,0,0,0,0,0,0,0,0,0
00761700,CARNEGIE INSTITUTE,MI,480831159,PROPRIETARY,5,5,13033,5,6874,4,4,16791,5,10285,0,0,0,0,0,0,0,0,0,0
00795000,WEST SHORE COMMUNITY COLLEGE,MI,494540000,PUBLIC,77,77,244895,77,122693,71,71,230960,71,112260,0,0,0,0,0,0,0,0,0,0
00923000,WAYNE COUNTY COMMUNITY COLLEGE DISTRICT,MI,482263010,PUBLIC,3313,3342,11425814,3346,5703450,1289,1383,2852688,1384,1423598,0,0,0,0,0,0,0,0,0,0
00982800,EVEREST INSTITUTE,MI,480334400,PROPRIETARY,1075,1075,3733464,1080,1823238,1032,1465,5790954,1471,2838960,47,47,365417,47,179893,0,0,0,0,0
01062700,ITT TECHNICAL INSTITUTE,MI,495190000,PROPRIETARY,1007,1015,3680832,1018,1297486,977,984,5195107,986,1818728,74,76,763758,76,256644,0,0,0,0,0
01082700,DAVID PRESSLEY PROFESSIONAL SCHOOL OF COSMETOLOGY,MI,480673219,PROPRIETARY,10,10,30860,12,17430,6,6,32871,6,19936,0,0,0,0,0,0,0,0,0,0
01109800,FLINT INSTITUTE OF BARBERING,MI,485044395,PROPRIETARY,9,9,35095,9,17552,9,9,32139,9,16072,0,0,0,0,0,0,0,0,0,0
01262700,THOMAS M. COOLEY LAW SCHOOL,MI,489011586,PRIVATE,1814,1815,14792563,1821,8002079,1859,1868,20604327,1882,10853476,0,0,0,0,0,1191,1252,13222286,1259,7651765
02060300,MICHIGAN INSTITUTE OF AVIATION AND TECHNOLOGY,MI,481882533,PROPRIETARY,375,377,1419191,615,810044,363,576,1522051,963,898326,58,58,297627,98,175926,0,0,0,0,0
02068700,FISER'S COLLEGE OF COSMETOLOGY,MI,492212907,PROPRIETARY,7,7,22697,7,22400,5,5,7900,5,7900,0,0,0,0,0,0,0,0,0,0
02099700,ROSS MEDICAL EDUCATION CENTER,MI,485071234,PROPRIETARY,3,3,5250,4,3500,3,3,4780,4,2482,0,0,0,0,0,0,0,0,0,0
02100400,EVEREST INSTITUTE,MI,495252301,PROPRIETARY,728,728,2494646,729,1259645,701,1108,3857410,1109,1943474,31,31,313643,31,152715,0,0,0,0,0
02158600,MR BELA'S SCHOOL OF COSMETOLOGY,MI,480924637,PROPRIETARY,18,19,57388,20,31694,11,12,24864,12,12433,0,0,0,0,0,0,0,0,0,0
02180100,ROSS MEDICAL EDUCATION CENTER,MI,480712565,PROPRIETARY,95,95,324635,97,166250,98,98,500167,100,253806,5,5,34204,5,17103,0,0,0,0,0
02198900,MICHIGAN SCHOOL OF PROFESSIONAL PSYCHOLOGY,MI,483344512,PRIVATE,90,90,750378,90,251130,95,95,1145012,95,386960,0,0,0,0,0,64,69,1178600,69,391182
02237800,SPECS HOWARD SCHOOL OF MEDIA ARTS,MI,480753953,PROPRIETARY,109,109,359334,109,186258,105,105,456259,105,233270,9,9,58324,9,29166,0,0,0,0,0
02339700,ROSS MEDICAL EDUCATION CENTER,MI,481167402,PROPRIETARY,156,156,527722,157,265705,152,152,780985,153,383935,5,5,39619,5,19811,0,0,0,0,0
02533600,ROSS MEDICAL EDUCATION CENTER,MI,489172108,PROPRIETARY,101,101,351011,101,175160,97,97,512940,97,250260,6,6,27721,6,13862,0,0,0,0,0
02588200,DOUGLAS J AVEDA INSTITUTE,MI,488234351,PROPRIETARY,199,200,619690,207,318920,202,203,682041,216,348175,42,42,256047,42,125036,0,0,0,0,0
03005700,DETROIT BUSINESS INSTITUTE - DOWNRIVER,MI,481936761,PROPRIETARY,10,10,21711,10,6248,4,4,14687,4,3573,1,1,2975,1,744,0,0,0,0,0
03124000,NORTHWESTERN TECHNOLOGICAL INSTITUTE,MI,480752412,PROPRIETARY,52,52,163831,52,81621,39,39,133063,39,64592,0,0,0,0,0,0,0,0,0,0
03490300,PAUL MITCHELL THE SCHOOL ESCANABA,MI,498290000,PROPRIETARY,28,29,92014,31,48211,26,26,121306,27,61986,5,5,78292,5,39147,0,0,0,0,0
03704300,BLUE WATER COLLEGE OF COSMETOLOGY,MI,480400000,PROPRIETARY,4,4,11373,6,7964,4,4,10410,6,6594,0,0,0,0,0,0,0,0,0,0
03907300,PAUL MITCHELL THE SCHOOL GREAT LAKES,MI,480600000,PROPRIETARY,21,21,64619,22,34750,17,18,73816,19,39667,0,0,0,0,0,0,0,0,0,0
03968300,LAKEWOOD SCHOOL OF THERAPEUTIC MASSAGE,MI,480600000,PROPRIETARY,7,7,19600,7,9800,7,7,33600,7,16800,0,0,0,0,0,0,0,0,0,0
03976500,ANN ARBOR INSTITUTE OF MASSAGE THERAPY,MI,481031959,PROPRIETARY,6,6,17502,6,8754,5,5,20433,5,10217,0,0,0,0,0,0,0,0,0,0
04002400,ECUMENICAL THEOLOGICAL SEMINARY,MI,482013035,PRIVATE,23,23,173431,24,66320,28,28,298251,29,116373,0,0,0,0,0,0,0,0,0,0
04138400,SCHOOL OF DESIGNING ARTS,MI,490152853,PROPRIETARY,9,9,29500,9,14750,10,10,41333,10,23667,0,0,0,0,0,0,0,0,0,0
